1	0.00
2	3.09
3	4.03
4	1.35
5	1.79
6	3.59
7	3.86
8	0.67
9	2.93
10	1.34
11	1.23
12	2.44
13	0.37
14	4.90
15	3.93
16	1.41
17	2.78
18	1.65
19	4.10
20	1.89
21	1.91
22	4.49
23	3.27
24	4.11
25	2.06
26	3.26
27	2.93
28	2.63
29	2.07
30	4.09
31	1.14
32	0.92
33	1.32
34	3.21
35	4.03
36	4.59
37	2.75
38	1.90
39	1.33
40	1.91
41	0.92
42	2.79
43	1.51
44	4.23
45	2.37
46	3.01
47	4.82
48	0.57
49	3.11
50	3.95
51	2.15
52	4.37
53	0.57
54	2.62
55	3.11
56	2.85
57	2.53
58	4.26
59	3.81
60	3.49
61	0.60
62	1.52
63	3.62
64	4.32
65	4.34
66	0.47
67	4.69
68	4.85
69	4.50
70	4.39
71	4.83
72	1.51
73	0.45
74	2.07
75	1.62
76	1.87
