1	0.94
2	4.65
3	1.67
4	4.91
5	4.57
6	3.70
7	3.37
8	2.86
9	3.59
10	4.49
11	0.63
12	2.81
13	1.79
14	4.02
15	3.09
16	1.10
17	4.99
18	3.05
19	1.46
20	2.13
21	4.50
22	0.17
23	1.35
24	3.65
25	0.43
26	2.63
27	4.54
28	4.68
29	2.11
30	2.36
31	4.74
32	3.13
33	3.69
34	1.05
35	3.28
36	1.70
37	4.83
38	1.09
39	2.03
40	1.91
41	4.65
42	0.13
43	1.79
44	2.20
45	2.01
46	0.10
47	4.35
48	3.21
49	1.37
50	3.16
51	0.09
52	4.60
53	1.06
54	4.98
55	0.65
56	4.97
57	4.55
58	2.88
59	2.84
60	3.49
61	1.21
62	4.87
63	0.33
64	4.02
65	4.22
66	2.65
67	4.13
68	4.74
69	2.08
70	0.58
71	1.04
72	4.41
73	4.33
74	0.19
75	1.73
76	3.19
77	3.50
78	3.85
79	0.67
80	4.77
81	2.29
82	3.96
83	0.83
84	3.76
85	4.36
86	3.82
87	4.30
88	1.03
89	1.78
90	3.89
91	3.31
92	2.72
93	4.32
94	2.71
95	2.63
96	2.10
97	3.44
98	4.22
