1	0.39
2	1.77
3	4.48
4	1.01
5	4.22
6	4.18
7	4.12
8	1.28
9	4.22
10	1.97
11	3.51
12	3.13
13	0.72
14	2.32
15	1.72
16	0.67
17	2.26
18	2.26
19	4.19
20	3.48
21	2.72
22	3.31
23	2.90
24	4.66
25	1.66
26	4.92
27	4.11
28	2.61
29	3.92
30	2.85
31	3.58
32	0.31
33	3.58
34	4.36
35	1.66
36	2.93
37	4.19
38	1.23
39	2.53
40	2.40
41	1.40
42	0.14
43	0.12
44	2.50
45	1.01
46	1.88
47	0.11
48	3.96
49	0.50
50	2.21
51	1.17
52	1.48
53	3.93
54	2.09
55	0.65
56	3.35
57	0.39
58	3.73
59	4.09
60	4.75
61	3.72
62	2.16
63	0.33
64	2.22
65	1.47
66	3.28
67	3.18
68	0.15
69	3.96
70	0.23
71	3.80
72	4.26
73	0.03
74	4.50
75	2.06
76	3.14
77	4.18
78	1.41
79	3.78
