1	1.02
2	2.10
3	1.60
4	1.19
5	1.80
6	1.91
7	4.11
8	3.97
9	3.31
10	2.93
11	4.95
12	4.79
13	2.51
14	0.09
15	3.18
16	0.48
17	3.55
18	0.50
19	3.75
20	3.49
21	0.74
22	4.69
23	0.46
24	1.57
25	4.31
26	0.87
27	4.91
28	2.20
29	4.33
30	3.07
31	1.56
32	3.51
33	1.51
34	0.10
35	0.20
36	4.27
37	3.33
38	0.66
39	2.07
40	2.77
41	0.32
42	0.86
43	4.27
44	0.70
45	4.61
46	4.22
47	0.17
48	0.36
49	2.07
50	0.53
51	4.81
52	0.37
53	4.70
54	4.13
55	4.85
56	2.53
57	1.69
58	3.51
59	2.07
60	4.58
61	0.84
62	4.05
63	2.59
64	1.46
