1	2.94
2	3.39
3	1.71
4	1.42
5	2.48
6	1.56
7	2.63
8	1.44
9	0.15
10	2.38
11	1.38
12	2.28
13	3.13
14	2.39
15	4.64
16	4.35
17	0.56
18	0.61
19	1.71
20	4.32
21	1.34
22	2.06
23	4.77
24	1.22
25	3.07
26	2.70
27	1.98
28	2.13
29	3.46
30	3.42
31	0.20
32	4.73
33	0.25
34	0.91
35	1.76
36	0.76
37	3.06
38	2.57
39	4.17
40	3.46
41	3.03
42	2.63
43	2.36
44	4.02
45	1.35
46	1.73
47	4.99
48	1.53
49	2.98
50	2.34
51	0.14
52	3.03
53	0.00
54	2.87
55	0.46
56	0.14
57	1.96
58	3.60
59	4.13
60	1.15
61	1.65
62	3.53
63	1.02
64	2.65
65	0.26
66	2.93
67	2.09
68	2.46
69	0.03
70	2.15
71	1.22
72	1.11
73	0.63
74	3.88
75	0.07
76	2.28
77	2.57
