1	2.91
2	3.68
3	0.23
4	4.20
5	0.18
6	1.81
7	2.83
8	4.10
9	0.45
10	3.36
11	4.50
12	3.98
13	2.86
14	3.91
15	1.94
16	4.81
17	1.48
18	1.75
19	2.10
20	1.66
21	4.16
22	1.59
23	0.65
24	2.40
25	2.37
26	1.44
27	0.09
28	4.21
29	3.51
30	4.80
31	0.65
32	4.52
33	4.75
34	1.79
35	3.05
36	0.37
37	2.19
38	3.11
39	2.79
40	4.64
41	2.39
42	4.91
43	1.84
44	3.03
45	3.30
46	0.78
47	4.53
48	2.54
49	0.14
50	4.29
51	0.86
52	0.74
53	2.10
54	1.13
55	1.91
56	4.78
57	4.56
58	0.05
59	3.55
60	0.29
61	2.17
62	0.37
63	1.52
64	2.85
65	2.23
66	1.56
67	2.69
68	3.85
69	3.90
70	1.93
71	4.65
72	2.79
73	2.93
74	4.00
75	2.79
76	4.97
77	3.25
78	3.47
79	1.46
80	1.64
81	1.15
82	1.89
83	3.50
84	4.48
85	4.68
86	0.51
87	4.83
88	1.98
